system_id,topology_id,construct,D,C,within_system_rank,rank_score_higher_is_better,experimental_Top1
D-PA,DPA_T01,PanB-RIAD / PanC-RIDD,2.4125353999707055,0.062266508492916116,1,4,TRUE
D-PA,DPA_T02,PanB-RIDD / PanC-RIAD,1.8352770205219706,0.10455509603569905,3,2,FALSE
D-PA,DPA_T03,RIAD-PanB / RIDD-PanC,2.7917171074926763,0.035879180480838886,2,3,FALSE
D-PA,DPA_T04,RIDD-PanB / RIAD-PanC,2.718666990988016,0.03650851648736485,4,1,FALSE
GI-DAE,GIDAE_T01,GI-RIDD / DAE-RIAD,2.3923358214740347,0.03150292919679095,2,3,FALSE
GI-DAE,GIDAE_T02,RIDD-GI / RIAD-DAE,1.7913312586551267,0.08562508473821438,3,2,FALSE
GI-DAE,GIDAE_T03,GI-RIAD / DAE-RIDD,2.3610933659960054,0.04123914892356857,1,4,TRUE
GI-DAE,GIDAE_T04,RIAD-GI / RIDD-DAE,2.666897219002663,0.005011136093960852,4,1,FALSE
GP-PGM,GPTRC_T01,GP-RIAD / TRC-RIDD,2.0300191702237016,0.03714854380729693,2,3,FALSE
GP-PGM,GPTRC_T02,GP-RIDD / TRC-RIAD,1.7978570001278293,0.018155816544252995,3,2,FALSE
GP-PGM,GPTRC_T03,RIAD-GP / RIDD-TRC,1.6261896934074567,0.035672333248242344,1,4,TRUE
GP-PGM,GPTRC_T04,RIDD-GP / RIAD-TRC,1.593106634467377,0.046754483324021316,4,1,FALSE
RHLA-RHLB,RHLARHLB_T01,RhlA-RIAD / RhlB-RIDD,2.0173316335885483,0.055474108069227694,2,3,FALSE
RHLA-RHLB,RHLARHLB_T02,RhlA-RIDD / RhlB-RIAD,2.1350435020705727,0.04146947966588549,1,4,TRUE
RHLA-RHLB,RHLARHLB_T03,RIAD-RhlA / RIDD-RhlB,1.986679359050599,0.045661782592210376,3,2,FALSE
RHLA-RHLB,RHLARHLB_T04,RIDD-RhlA / RIAD-RhlB,2.241574741844208,0.047943281994633824,4,1,FALSE
