topology_id,system_id,trajectory_length_ns,frame_interval_ps,frame_N,PBC_workflow,technical_trajectory_QC,convergence_status,equilibrium_confirmed,analysis_window,RMSD_mean_nm,Rg_mean_nm,SASA_mean_nm2,RMSD_Rg_SASA_QC,mechanistic_feature_extraction,DPA_T01_resolution_note,trajectory_source,PSCI_source
DPA_T01,D-PA,100.0,10.0,10001,nojump_whole_center_compact,pass,not_converged_within_100ns,false,0-75 ns,0.6848192520647935,3.0947388902109787,324.89399590040995,PASS_TECHNICAL_DESCRIPTIVE_ONLY,ALLOWED_WITH_CAUTION_0_75NS,technical PBC/processing recovered; still not_converged_within_100ns and no equilibrium window,results/D-PA/DPA_T01/processed/DPA_T01_protein_analysis_10ps.xtc,results/PSCI_FINAL/timeseries/DPA_T01/PSCI_timeseries_100ps.csv
DPA_T02,D-PA,100.0,10.0,10001,whole_center_compact,pass,slow_drift,false,0-75 ns,0.6779294869313071,2.7966605692430755,312.4008085191481,PASS_TECHNICAL_DESCRIPTIVE_ONLY,ALLOWED_WITH_CAUTION_0_75NS,NA,results/D-PA/DPA_T02/processed/DPA_T02_protein_analysis_10ps.xtc,results/PSCI_FINAL/timeseries/DPA_T02/PSCI_timeseries_100ps.csv
DPA_T03,D-PA,100.0,10.0,10001,whole_center_compact,pass,slow_drift,false,0-75 ns,0.6481979177382262,3.1515548571142884,312.8200158984102,PASS_TECHNICAL_DESCRIPTIVE_ONLY,ALLOWED_WITH_CAUTION_0_75NS,NA,results/D-PA/DPA_T03/processed/DPA_T03_protein_analysis_10ps.xtc,results/PSCI_FINAL/timeseries/DPA_T03/PSCI_timeseries_100ps.csv
DPA_T04,D-PA,100.0,10.0,10001,whole_center_compact,pass,slow_drift,false,0-75 ns,1.036073995580442,3.142477645635436,307.28890400959904,PASS_TECHNICAL_DESCRIPTIVE_ONLY,ALLOWED_WITH_CAUTION_0_75NS,NA,results/D-PA/DPA_T04/processed/DPA_T04_protein_analysis_10ps.xtc,results/PSCI_FINAL/timeseries/DPA_T04/PSCI_timeseries_100ps.csv
GIDAE_T01,GI-DAE,100.0,10.0,10001,whole_center_compact,pass,slow_drift,false,0-75 ns,0.7207060256474352,3.3893009830016996,389.95109439056097,PASS_TECHNICAL_DESCRIPTIVE_ONLY,ALLOWED_WITH_CAUTION_0_75NS,NA,results/GI-DAE/GIDAE_T01/processed/GIDAE_T01_protein_analysis_10ps.xtc,results/PSCI_FINAL/timeseries/GIDAE_T01/PSCI_timeseries_100ps.csv
GIDAE_T02,GI-DAE,100.0,10.0,10001,whole_center_compact,pass,slow_drift,false,0-75 ns,0.798743388351165,3.0302648468153186,396.26565253474655,PASS_TECHNICAL_DESCRIPTIVE_ONLY,ALLOWED_WITH_CAUTION_0_75NS,NA,results/GI-DAE/GIDAE_T02/processed/GIDAE_T02_protein_analysis_10ps.xtc,results/PSCI_FINAL/timeseries/GIDAE_T02/PSCI_timeseries_100ps.csv
GIDAE_T03,GI-DAE,100.0,10.0,10001,whole_center_compact,pass,late_transition,false,0-75 ns,0.6938339835516449,3.402908432056795,401.30484421557844,PASS_TECHNICAL_DESCRIPTIVE_ONLY,ALLOWED_WITH_CAUTION_0_75NS,NA,results/GI-DAE/GIDAE_T03/processed/GIDAE_T03_protein_analysis_10ps.xtc,results/PSCI_FINAL/timeseries/GIDAE_T03/PSCI_timeseries_100ps.csv
GIDAE_T04,GI-DAE,100.0,10.0,10001,whole_center_compact,pass,slow_drift,false,0-75 ns,1.3811459177582242,3.4830988994100585,405.58359044095596,PASS_TECHNICAL_DESCRIPTIVE_ONLY,ALLOWED_WITH_CAUTION_0_75NS,NA,results/GI-DAE/GIDAE_T04/processed/GIDAE_T04_protein_analysis_10ps.xtc,results/PSCI_FINAL/timeseries/GIDAE_T04/PSCI_timeseries_100ps.csv
GPTRC_T01,GP-PGM,100.0,10.0,10001,whole_center_compact,pass,not_converged_within_100ns,false,0-75 ns,0.36002509614038597,3.676430683531647,558.5896176382362,PASS_TECHNICAL_DESCRIPTIVE_ONLY,ALLOWED_WITH_CAUTION_0_75NS,NA,results/GP-PGM/GPTRC_T01/processed/GPTRC_T01_protein_analysis_10ps.xtc,results/PSCI_FINAL/timeseries/GPTRC_T01/PSCI_timeseries_100ps.csv
GPTRC_T02,GP-PGM,100.0,10.0,10001,whole_center_compact,pass,slow_drift,false,0-75 ns,0.40788857213278673,3.5112598944105584,560.4182246775323,PASS_TECHNICAL_DESCRIPTIVE_ONLY,ALLOWED_WITH_CAUTION_0_75NS,NA,results/GP-PGM/GPTRC_T02/processed/GPTRC_T02_protein_analysis_10ps.xtc,results/PSCI_FINAL/timeseries/GPTRC_T02/PSCI_timeseries_100ps.csv
