pair_id,system,construct_i,construct_j,phenotype_i,phenotype_j,phenotype_unit,rank_score_i,rank_score_j,target_direction,target_label,delta_phenotype,delta_rank_score,unordered_biological_pair,delta_D,delta_C,delta_F1,delta_F4,delta_F5,delta_L,delta_A,delta_O,delta_F2
DPA_PAIR_01,D-PA,DPA_T01,DPA_T02,152,95,mg/L,4.0,2.0,1,I_GT_J,57.0,2.0,True,0.5772583794487349,-0.04228858754278294,0.03319498873275628,-0.02929427430093212,-0.03659161583604309,-0.04721610092343537,0.054932755974434144,0.09587217043941411,0.031330629181092196
DPA_PAIR_02,D-PA,DPA_T01,DPA_T03,152,113,mg/L,4.0,3.0,1,I_GT_J,39.0,1.0,True,-0.3791817075219708,0.02638732801207723,0.07586538986205071,0.12782956058588546,-0.020301593068301815,-0.011469258653794945,0.039789250163382084,-0.42077230359520645,-0.08004780818508639
DPA_PAIR_03,D-PA,DPA_T01,DPA_T04,152,60,mg/L,4.0,1.0,1,I_GT_J,92.0,3.0,True,-0.30613159101731036,0.025757992005551268,-0.6132463508715046,-0.02929427430093212,-0.02507642728280035,0.030851088236351576,0.20910161905885483,-0.848202396804261,-0.0694301382197069
DPA_PAIR_04,D-PA,DPA_T02,DPA_T03,95,113,mg/L,2.0,3.0,-1,J_GT_I,-18.0,-1.0,True,-0.9564400869707057,0.06867591555486016,0.04267040112929443,0.15712383488681758,0.016290022767741275,0.03574684226964042,-0.01514350581105206,-0.5166444740346205,-0.11137843736617858
DPA_PAIR_05,D-PA,DPA_T02,DPA_T04,95,60,mg/L,2.0,1.0,1,I_GT_J,35.0,1.0,True,-0.8833899704660453,0.06804657954833421,-0.6464413396042609,0.0,0.011515188553242739,0.07806718915978694,0.15416886308442068,-0.9440745672436751,-0.10076076740079909
DPA_PAIR_06,D-PA,DPA_T03,DPA_T04,113,60,mg/L,3.0,1.0,1,I_GT_J,53.0,2.0,True,0.07305011650466042,-0.0006293360065259615,-0.6891117407335553,-0.15712383488681758,-0.004774834214498536,0.04232034689014652,0.16931236889547274,-0.42743009320905456,0.010617669965379495
GIDAE_PAIR_01,GI-DAE,GIDAE_T01,GIDAE_T02,54.4,22.0,percent_of_control,3.0,2.0,1,I_GT_J,32.4,1.0,True,0.601004562818908,-0.05412215554142343,-0.12357566993741675,0.5552596537949401,-0.04263678593162901,-0.13726064612170438,,,
GIDAE_PAIR_02,GI-DAE,GIDAE_T01,GIDAE_T03,54.4,57.6,percent_of_control,3.0,4.0,-1,J_GT_I,-3.200000000000003,-1.0,True,0.031242455478029285,-0.009736219726777622,-0.07909479980279632,0.5552596537949401,0.018280500177404235,-0.24063542398135826,,,
GIDAE_PAIR_03,GI-DAE,GIDAE_T01,GIDAE_T04,54.4,0.0,percent_of_control,3.0,1.0,1,I_GT_J,54.4,2.0,True,-0.2745613975286285,0.026491793102830098,-0.31031186156258317,0.33688415446071907,0.10580900862905585,-0.07759508803794948,,,
GIDAE_PAIR_04,GI-DAE,GIDAE_T02,GIDAE_T03,22.0,57.6,percent_of_control,2.0,4.0,-1,J_GT_I,-35.6,-2.0,True,-0.5697621073408787,0.04438593581464581,0.04448087013462043,0.0,0.06091728610903324,-0.10337477785965388,,,
