study_id,system_id,construct_id,published_construct_name,enzyme_A,enzyme_B,species_A,species_B,accession_A,accession_B,sequence_A_status,sequence_B_status,fusion_order,attachment_A,attachment_B,N/C_topology,recruitment_A,recruitment_B,linker_A,linker_B,linker_length_A,linker_length_B,scaffold_platform,stoichiometry,native_oligomer_A,native_oligomer_B,host,vector,promoter,architecture_notes,evidence_grade,evidence_definition,original_evidence_grade,external_role,publication_family_id,quality_flags
STUDY0003,SYS0001,CON0002,CON0002,formate dehydrogenase,L-alanine dehydrogenase,NA,NA,NA,NA,UNRESOLVED,UNRESOLVED,covalent head-to-tail assembly,C/C,C/C,C/C,SCAB_CTPR,SCAB_CTPR,NA,NA,NA,NA,OTHER_PROTEIN_RECRUITMENT,NA,dimer,hexamer,NA,NA,NA,covalent head-to-tail assembly,B,ARCHITECTURE_ALIGNED_BUT_NOT_EXACT,B,V3_DEVELOPMENT_ONLY,STUDY0003,HIGH_CONFIDENCE;MISSING_SEQUENCE;INHERITED_V2_STANDARDIZED_LABEL
STUDY0003,SYS0001,CON0003,CON0003,formate dehydrogenase,L-alanine dehydrogenase,NA,NA,NA,NA,UNRESOLVED,UNRESOLVED,metal-driven assembly,C/C,C/C,C/C,SCAB_CTPR,SCAB_CTPR,NA,NA,NA,NA,OTHER_PROTEIN_RECRUITMENT,NA,dimer,hexamer,NA,NA,NA,metal-driven assembly,B,ARCHITECTURE_ALIGNED_BUT_NOT_EXACT,B,V3_DEVELOPMENT_ONLY,STUDY0003,HIGH_CONFIDENCE;MISSING_SEQUENCE;INHERITED_V2_STANDARDIZED_LABEL
STUDY0004,SYS0002,CON0004,CON0004,maltooligosyltrehalose synthase,maltooligosyltrehalose trehalohydrolase,Sulfolobus acidocaldarius ATCC 33909,Sulfolobus acidocaldarius ATCC 33909,OQ630936,OQ630939,PARTIAL_SEQUENCE,PARTIAL_SEQUENCE,bivalent scaffold,C/N,C/N,C/N,cohesin_dockerin,cohesin_dockerin,NA,NA,NA,NA,COHESIN_DOCKERIN,NA,NA,NA,NA,NA,NA,bivalent scaffold,B,ARCHITECTURE_ALIGNED_BUT_NOT_EXACT,B,V3_DEVELOPMENT_ONLY,STUDY0004,HIGH_CONFIDENCE;MISSING_SEQUENCE;INHERITED_V2_STANDARDIZED_LABEL
STUDY0008,SYS0007,CON0049,CON0049,glucose dehydrogenase,Candida parapsilosis carbonyl reductase,NA,NA,NA,NA,UNRESOLVED,UNRESOLVED,covalent bi-enzyme self-assembly,C/N,C/N,C/N,SpyTag_SpyCatcher,SpyTag_SpyCatcher,NA,NA,NA,NA,SPYTAG_SPYCATCHER,NA,NA,NA,NA,NA,NA,covalent bi-enzyme self-assembly,B,ARCHITECTURE_ALIGNED_BUT_NOT_EXACT,B,V3_DEVELOPMENT_ONLY,STUDY0008,HIGH_CONFIDENCE;MISSING_SEQUENCE;INHERITED_V2_STANDARDIZED_LABEL
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_01,CON_DUEBER_01,AtoB,HMGS,Escherichia coli K-12,Saccharomyces cerevisiae,P76461,P54839,PARTIAL_SEQUENCE,PARTIAL_SEQUENCE,GBD-SH3-PDZ modular scaffold,C/C/C,C/C/C,C/C/C,GBD_SH3_PDZ_modular_scaffold,GBD_SH3_PDZ_modular_scaffold,NA,NA,NA,NA,SH3_PDZ_GBD,NA,NA,NA,NA,NA,NA,GBD-SH3-PDZ modular scaffold,U,UNRESOLVED,SOURCE_AUDITED_GRADE_NOT_ASSIGNED,V3_DEVELOPMENT_ONLY,Dueber2009,LOW_CONFIDENCE;MISSING_SEQUENCE;INHERITED_V2_STANDARDIZED_LABEL
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_02,CON_DUEBER_02,AtoB,HMGS,Escherichia coli K-12,Saccharomyces cerevisiae,P76461,P54839,PARTIAL_SEQUENCE,PARTIAL_SEQUENCE,GBD-SH3-PDZ modular scaffold,C/C/C,C/C/C,C/C/C,GBD_SH3_PDZ_modular_scaffold,GBD_SH3_PDZ_modular_scaffold,NA,NA,NA,NA,SH3_PDZ_GBD,NA,NA,NA,NA,NA,NA,GBD-SH3-PDZ modular scaffold,U,UNRESOLVED,SOURCE_AUDITED_GRADE_NOT_ASSIGNED,V3_DEVELOPMENT_ONLY,Dueber2009,LOW_CONFIDENCE;MISSING_SEQUENCE;INHERITED_V2_STANDARDIZED_LABEL
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_03,CON_DUEBER_03,AtoB,HMGS,Escherichia coli K-12,Saccharomyces cerevisiae,P76461,P54839,PARTIAL_SEQUENCE,PARTIAL_SEQUENCE,GBD-SH3-PDZ modular scaffold,C/C/C,C/C/C,C/C/C,GBD_SH3_PDZ_modular_scaffold,GBD_SH3_PDZ_modular_scaffold,NA,NA,NA,NA,SH3_PDZ_GBD,NA,NA,NA,NA,NA,NA,GBD-SH3-PDZ modular scaffold,U,UNRESOLVED,SOURCE_AUDITED_GRADE_NOT_ASSIGNED,V3_DEVELOPMENT_ONLY,Dueber2009,LOW_CONFIDENCE;MISSING_SEQUENCE;INHERITED_V2_STANDARDIZED_LABEL
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_04,CON_DUEBER_04,AtoB,HMGS,Escherichia coli K-12,Saccharomyces cerevisiae,P76461,P54839,PARTIAL_SEQUENCE,PARTIAL_SEQUENCE,GBD-SH3-PDZ modular scaffold,C/C/C,C/C/C,C/C/C,GBD_SH3_PDZ_modular_scaffold,GBD_SH3_PDZ_modular_scaffold,NA,NA,NA,NA,SH3_PDZ_GBD,NA,NA,NA,NA,NA,NA,GBD-SH3-PDZ modular scaffold,U,UNRESOLVED,SOURCE_AUDITED_GRADE_NOT_ASSIGNED,V3_DEVELOPMENT_ONLY,Dueber2009,LOW_CONFIDENCE;MISSING_SEQUENCE;INHERITED_V2_STANDARDIZED_LABEL
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_05,CON_DUEBER_05,AtoB,HMGS,Escherichia coli K-12,Saccharomyces cerevisiae,P76461,P54839,PARTIAL_SEQUENCE,PARTIAL_SEQUENCE,GBD-SH3-PDZ modular scaffold,C/C/C,C/C/C,C/C/C,GBD_SH3_PDZ_modular_scaffold,GBD_SH3_PDZ_modular_scaffold,NA,NA,NA,NA,SH3_PDZ_GBD,NA,NA,NA,NA,NA,NA,GBD-SH3-PDZ modular scaffold,U,UNRESOLVED,SOURCE_AUDITED_GRADE_NOT_ASSIGNED,V3_DEVELOPMENT_ONLY,Dueber2009,LOW_CONFIDENCE;MISSING_SEQUENCE;INHERITED_V2_STANDARDIZED_LABEL
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_06,CON_DUEBER_06,AtoB,HMGS,Escherichia coli K-12,Saccharomyces cerevisiae,P76461,P54839,PARTIAL_SEQUENCE,PARTIAL_SEQUENCE,GBD-SH3-PDZ modular scaffold,C/C/C,C/C/C,C/C/C,GBD_SH3_PDZ_modular_scaffold,GBD_SH3_PDZ_modular_scaffold,NA,NA,NA,NA,SH3_PDZ_GBD,NA,NA,NA,NA,NA,NA,GBD-SH3-PDZ modular scaffold,U,UNRESOLVED,SOURCE_AUDITED_GRADE_NOT_ASSIGNED,V3_DEVELOPMENT_ONLY,Dueber2009,LOW_CONFIDENCE;MISSING_SEQUENCE;INHERITED_V2_STANDARDIZED_LABEL
