pair_id,system_id,assay_id,construct_i,construct_j,y_i,y_j,delta,rank_direction,uncertainty,tie,study,endpoint,rank_direction_source,architecture_i,architecture_j,same_system,comparable_assay,training_status
PAIR00001,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_FL15,P1_TGT035_FL20,0.04264433740849372,0.15055967657538138,-0.10791533916688767,J_GT_I,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,J_GT_I,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00002,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_FL15,P1_TGT035_MFL15,0.04264433740849372,0.21412480535284734,-0.17148046794435362,J_GT_I,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,J_GT_I,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00003,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_FL15,P1_TGT035_MFL20,0.04264433740849372,0.22650852980867975,-0.18386419240018603,J_GT_I,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,J_GT_I,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00004,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_FL15,P1_TGT035_MRL20,0.04264433740849372,0.014355292977070054,0.028289044431423667,I_GT_J,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,I_GT_J,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00005,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_FL15,P1_TGT035_MRL25,0.04264433740849372,0.02856915219677092,0.014075185211722803,I_GT_J,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,I_GT_J,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00006,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_FL15,P1_TGT035_RL15,0.04264433740849372,0.056583528366367514,-0.013939190957873791,J_GT_I,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,J_GT_I,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00008,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_FL20,P1_TGT035_MFL15,0.15055967657538138,0.21412480535284734,-0.06356512877746595,J_GT_I,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,J_GT_I,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00009,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_FL20,P1_TGT035_MFL20,0.15055967657538138,0.22650852980867975,-0.07594885323329836,J_GT_I,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,J_GT_I,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00010,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_FL20,P1_TGT035_MRL20,0.15055967657538138,0.014355292977070054,0.13620438359831133,I_GT_J,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,I_GT_J,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00011,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_FL20,P1_TGT035_MRL25,0.15055967657538138,0.02856915219677092,0.12199052437861047,I_GT_J,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,I_GT_J,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00012,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_FL20,P1_TGT035_RL15,0.15055967657538138,0.056583528366367514,0.09397614820901387,I_GT_J,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,I_GT_J,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00013,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_FL20,P1_TGT035_RL25,0.15055967657538138,0.04264433740849372,0.10791533916688767,I_GT_J,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,I_GT_J,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00014,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_MFL15,P1_TGT035_MFL20,0.21412480535284734,0.22650852980867975,-0.012383724455832412,J_GT_I,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,J_GT_I,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00015,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_MFL15,P1_TGT035_MRL20,0.21412480535284734,0.014355292977070054,0.19976951237577728,I_GT_J,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,I_GT_J,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00016,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_MFL15,P1_TGT035_MRL25,0.21412480535284734,0.02856915219677092,0.18555565315607642,I_GT_J,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,I_GT_J,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00017,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_MFL15,P1_TGT035_RL15,0.21412480535284734,0.056583528366367514,0.15754127698647982,I_GT_J,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,I_GT_J,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00018,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_MFL15,P1_TGT035_RL25,0.21412480535284734,0.04264433740849372,0.17148046794435362,I_GT_J,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,I_GT_J,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00019,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_MFL20,P1_TGT035_MRL20,0.22650852980867975,0.014355292977070054,0.2121532368316097,I_GT_J,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,I_GT_J,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00020,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_MFL20,P1_TGT035_MRL25,0.22650852980867975,0.02856915219677092,0.19793937761190883,I_GT_J,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,I_GT_J,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
PAIR00021,SYS0002,V2_in_vitro_trehalose_production,P1_TGT035_MFL20,P1_TGT035_RL15,0.22650852980867975,0.056583528366367514,0.16992500144231223,I_GT_J,UNCERTAINTY_NOT_REPORTED,false,STUDY_TGT035,trehalose_titer_ratio,I_GT_J,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,intermolecular recruitment|Ct/Cc cohesin-dockerin|Ct/Cc cohesin-dockerin|COHESIN_DOCKERIN,True,True,ARCHITECTURE_PRIOR_ELIGIBLE_NON_TIE
