study_id,system_id,construct_id,assay_id,endpoint,endpoint_taxonomy,raw_value,unit,matched_control,control_taxonomy,control_value,replicate_n,mean,SD,SE,CI,statistical_test,p_value_if_reported,source_type,figure,table,SI_page,digitized,extraction_type,panel,digitization_method,estimated_extraction_uncertainty,extraction_notes,quality_flags
STUDY0003,SYS0001,CON0002,V2_L-alanine biosynthesis,specific_activity,SPECIFIC_ACTIVITY,1.84799690655495,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,1.84799690655495,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY0003,SYS0001,CON0003,V2_L-alanine biosynthesis,conversion,CONVERSION,-0.0972972014,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,-0.0972972014,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY0004,SYS0002,CON0004,V2_trehalose production,titer,TITER,0.576430594,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.576430594,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY0008,SYS0007,CON0049,V2_(R)-HPBE biosynthesis,conversion,CONVERSION,1.2630344058337937,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,1.2630344058337937,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_01,V2_source_assay_unspecified,titer,TITER,0.485426827,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,0.485426827,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_02,V2_source_assay_unspecified,titer,TITER,1.96347412,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,1.96347412,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_03,V2_source_assay_unspecified,titer,TITER,4.63226822,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,4.63226822,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_04,V2_source_assay_unspecified,titer,TITER,3.54843662,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,3.54843662,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_05,V2_source_assay_unspecified,titer,TITER,6.26678654,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,6.26678654,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
STUDY_DUEBER_2009,SYS_DUEBER_MEVALONATE,CON_DUEBER_06,V2_source_assay_unspecified,titer,TITER,2.94485845,log2 scaffolded_over_matched_control,source-audited matched control represented by phenotype_log2FC,OTHER,0,NA,2.94485845,NA,NA,NA,NA,NA,SOURCE_DATA_VALUE,NA,PSCI_LITERATURE_DEVELOPMENT_V2,NA,false,SOURCE_DATA_VALUE,NA,NA,NA,Inherited frozen V2 standardized quantitative label; absolute raw source value not always retained in V2,INHERITED_V2_STANDARDIZED_LABEL;MISSING_REPLICATES
