topology_id,system_id,canonical_system_id,raw_directory,source_xtc,source_tpr,analysis_xtc,analysis_reference,analysis_index,pbc_mode,stride_ps,natoms,frames,start_ps,end_ps,interval_ps,time_monotonic,trajectory_reused,trajectory_bytes,trajectory_exit_code,metrics_exit_code,qc_exit_code,classification,status,started_utc,ended_utc,wall_seconds,gromacs_version,script_version,notes
DPA_T01,D-PA,D-PA,D-PA/panb_riad_panc_ridd,D-PA/panb_riad_panc_ridd/md.xtc,D-PA/panb_riad_panc_ridd/md.tpr,results/D-PA/DPA_T01/processed/DPA_T01_protein_analysis_10ps.xtc,results/D-PA/DPA_T01/processed/analysis_reference.gro,results/D-PA/DPA_T01/processed/phase2C_analysis_index.ndx,nojump_whole_center_compact,10,10027,10001,0.0,100000.0,10.0,true,false,382956680,0,0,0,not_converged_within_100ns,pass,2026-07-16T01:26:28Z,2026-07-16T01:32:37Z,369,2025.2,1.0.0,Phase3C_targeted_recovery; fixed_nojump_whole_center_selection; equilibrium_not_confirmed
DPA_T02,D-PA,D-PA,D-PA/panb_ridd_panc_riad,D-PA/panb_ridd_panc_riad/md.xtc,D-PA/panb_ridd_panc_riad/md.tpr,results/D-PA/DPA_T02/processed/DPA_T02_protein_analysis_10ps.xtc,results/D-PA/DPA_T02/processed/analysis_reference.gro,results/D-PA/DPA_T02/processed/phase2C_analysis_index.ndx,whole_center_compact,10,10028,10001,0.0,100000.0,10.0,true,false,381878792,0,0,0,slow_drift,pass,2026-07-15T01:33:34Z,2026-07-15T01:41:51Z,497,2025.2,1.0.0,standardized_basic_md_complete
DPA_T03,D-PA,D-PA,D-PA/riad_panb_ridd_panc,D-PA/riad_panb_ridd_panc/md.xtc,D-PA/riad_panb_ridd_panc/md.tpr,results/D-PA/DPA_T03/processed/DPA_T03_protein_analysis_10ps.xtc,results/D-PA/DPA_T03/processed/analysis_reference.gro,results/D-PA/DPA_T03/processed/phase2C_analysis_index.ndx,whole_center_compact,10,9868,10001,0.0,100000.0,10.0,true,false,376194232,0,0,0,slow_drift,pass,2026-07-15T01:41:51Z,2026-07-15T01:50:19Z,508,2025.2,1.0.0,standardized_basic_md_complete
DPA_T04,D-PA,D-PA,D-PA/ridd-panb-riad-panc,D-PA/ridd-panb-riad-panc/md.xtc,D-PA/ridd-panb-riad-panc/md.tpr,results/D-PA/DPA_T04/processed/DPA_T04_protein_analysis_10ps.xtc,results/D-PA/DPA_T04/processed/analysis_reference.gro,results/D-PA/DPA_T04/processed/phase2C_analysis_index.ndx,whole_center_compact,10,9869,10001,0.0,100000.0,10.0,true,true,376223628,0,0,0,slow_drift,pass,2026-07-15T01:17:16Z,2026-07-15T01:23:09Z,353,2025.2,1.0.0,standardized_basic_md_complete
GIDAE_T01,GI-DAE,GI-DAE,GI-DAE/GI-RIDD-DAE-RIAD,GI-DAE/GI-RIDD-DAE-RIAD/md.xtc,GI-DAE/GI-RIDD-DAE-RIAD/md.tpr,results/GI-DAE/GIDAE_T01/processed/GIDAE_T01_protein_analysis_10ps.xtc,results/GI-DAE/GIDAE_T01/processed/analysis_reference.gro,results/GI-DAE/GIDAE_T01/processed/phase2C_analysis_index.ndx,whole_center_compact,10,12818,10001,0.0,100000.0,10.0,true,false,489233592,0,0,0,slow_drift,pass,2026-07-15T01:50:19Z,2026-07-15T02:01:00Z,641,2025.2,1.0.0,standardized_basic_md_complete
GIDAE_T02,GI-DAE,GI-DAE,GI-DAE/RIDD-GI-RIAD-DAE,GI-DAE/RIDD-GI-RIAD-DAE/md.xtc,GI-DAE/RIDD-GI-RIAD-DAE/md.tpr,results/GI-DAE/GIDAE_T02/processed/GIDAE_T02_protein_analysis_10ps.xtc,results/GI-DAE/GIDAE_T02/processed/analysis_reference.gro,results/GI-DAE/GIDAE_T02/processed/phase2C_analysis_index.ndx,whole_center_compact,10,13022,10001,0.0,100000.0,10.0,true,false,497273112,0,0,0,slow_drift,pass,2026-07-15T02:01:00Z,2026-07-15T02:10:40Z,581,2025.2,1.0.0,standardized_basic_md_complete
GIDAE_T03,GI-DAE,GI-DAE,GI-DAE/gi_riad_dae_ridd,GI-DAE/gi_riad_dae_ridd/md.xtc,GI-DAE/gi_riad_dae_ridd/md.tpr,results/GI-DAE/GIDAE_T03/processed/GIDAE_T03_protein_analysis_10ps.xtc,results/GI-DAE/GIDAE_T03/processed/analysis_reference.gro,results/GI-DAE/GIDAE_T03/processed/phase2C_analysis_index.ndx,whole_center_compact,10,12818,10001,0.0,100000.0,10.0,true,false,489937924,0,0,0,late_transition,pass,2026-07-15T02:10:40Z,2026-07-15T02:20:45Z,604,2025.2,1.0.0,standardized_basic_md_complete
GIDAE_T04,GI-DAE,GI-DAE,GI-DAE/riad_gi_ridd_dae,GI-DAE/riad_gi_ridd_dae/md.xtc,GI-DAE/riad_gi_ridd_dae/md.tpr,results/GI-DAE/GIDAE_T04/processed/GIDAE_T04_protein_analysis_10ps.xtc,results/GI-DAE/GIDAE_T04/processed/analysis_reference.gro,results/GI-DAE/GIDAE_T04/processed/phase2C_analysis_index.ndx,whole_center_compact,10,13022,10001,0.0,100000.0,10.0,true,false,497348896,0,0,0,slow_drift,pass,2026-07-15T02:20:45Z,2026-07-15T02:32:50Z,725,2025.2,1.0.0,standardized_basic_md_complete
GPTRC_T01,GP-TRC,GP-PGM,GP-TRC/gp_riad_trc_ridd,GP-TRC/gp_riad_trc_ridd/md.xtc,GP-TRC/gp_riad_trc_ridd/md.tpr,results/GP-PGM/GPTRC_T01/processed/GPTRC_T01_protein_analysis_10ps.xtc,results/GP-PGM/GPTRC_T01/processed/analysis_reference.gro,results/GP-PGM/GPTRC_T01/processed/phase2C_analysis_index.ndx,whole_center_compact,10,22137,10001,0.0,100000.0,10.0,true,false,839986004,0,0,0,not_converged_within_100ns,pass,2026-07-15T02:32:50Z,2026-07-15T02:49:02Z,972,2025.2,1.0.0,standardized_basic_md_complete
GPTRC_T02,GP-TRC,GP-PGM,GP-TRC/gp_ridd_trc_riad,GP-TRC/gp_ridd_trc_riad/md.xtc,GP-TRC/gp_ridd_trc_riad/md.tpr,results/GP-PGM/GPTRC_T02/processed/GPTRC_T02_protein_analysis_10ps.xtc,results/GP-PGM/GPTRC_T02/processed/analysis_reference.gro,results/GP-PGM/GPTRC_T02/processed/phase2C_analysis_index.ndx,whole_center_compact,10,22135,10001,0.0,100000.0,10.0,true,false,842070320,0,0,0,slow_drift,pass,2026-07-15T02:49:02Z,2026-07-15T03:05:10Z,969,2025.2,1.0.0,standardized_basic_md_complete
