fold,held_out_system,training_systems,feature,beta_on_scaled_feature,penalty,fit_intercept,training_pair_N,literature_prior_pair_N
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,L_lit,-0.28754035529949235,1.0,false,18,377
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,D,-0.12463257090597905,1.0,false,18,377
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,C,-0.30587682753573125,1.0,false,18,377
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,F1,-0.99581259057897165,1.0,false,18,377
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,F4,-0.58826001020609564,1.0,false,18,377
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,F5,-0.035552154668902193,1.0,false,18,377
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,L,0.51009677614505566,1.0,false,18,377
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,L_lit,-0.23149386267562902,1.0,false,18,377
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,D,-0.21751109321876785,1.0,false,18,377
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,C,-0.33100583089880681,1.0,false,18,377
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,F1,-0.82921086685355794,1.0,false,18,377
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,F4,-0.85708794497032958,1.0,false,18,377
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,F5,-0.5950589659687715,1.0,false,18,377
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,L,0.18943046720157131,1.0,false,18,377
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,L_lit,-0.96180631148430695,1.0,false,18,377
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,D,0.60716100654565663,1.0,false,18,377
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,C,-0.50962204953386647,1.0,false,18,377
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,F1,-0.83399737888608505,1.0,false,18,377
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,F4,-0.78657401713135489,1.0,false,18,377
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,F5,-0.045584886499483925,1.0,false,18,377
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,L,0.68643974728835588,1.0,false,18,377
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,L_lit,-0.38220474088843148,1.0,false,18,377
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,D,0.083176195920534907,1.0,false,18,377
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,C,-0.42317324060842809,1.0,false,18,377
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,F1,-0.65237511939822646,1.0,false,18,377
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,F4,-0.47659467339512424,1.0,false,18,377
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,F5,-0.038345664506220352,1.0,false,18,377
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,L,0.60612619078319441,1.0,false,18,377
