fold,held_out_system,training_systems,feature,mean,scale_population_SD,centering,training_pair_N
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,L_lit,0,0.35994772773511163,NONE_SCALE_ONLY,18
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,D,0,0.35399035057214612,NONE_SCALE_ONLY,18
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,C,0,0.0289753736438744,NONE_SCALE_ONLY,18
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,F1,0,0.59505840202548288,NONE_SCALE_ONLY,18
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,F4,0,0.48753324558954536,NONE_SCALE_ONLY,18
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,F5,0,0.086770529204475602,NONE_SCALE_ONLY,18
D-PA,D-PA,GI-DAE;GP-PGM;RHLA-RHLB,L,0,0.10058105875036978,NONE_SCALE_ONLY,18
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,L_lit,0,0.35994772773511163,NONE_SCALE_ONLY,18
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,D,0,0.39918592278288073,NONE_SCALE_ONLY,18
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,C,0,0.027726803145787293,NONE_SCALE_ONLY,18
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,F1,0,0.60850694837191688,NONE_SCALE_ONLY,18
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,F4,0,0.43829638611571597,NONE_SCALE_ONLY,18
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,F5,0,0.059409925802906521,NONE_SCALE_ONLY,18
GI-DAE,GI-DAE,D-PA;GP-PGM;RHLA-RHLB,L,0,0.059875615290645307,NONE_SCALE_ONLY,18
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,L_lit,0,0.35994772773511163,NONE_SCALE_ONLY,18
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,D,0,0.42543012525271307,NONE_SCALE_ONLY,18
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,C,0,0.034802026413882955,NONE_SCALE_ONLY,18
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,F1,0,0.57596579568274719,NONE_SCALE_ONLY,18
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,F4,0,0.28391134011229185,NONE_SCALE_ONLY,18
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,F5,0,0.086343819204251965,NONE_SCALE_ONLY,18
GP-PGM,GP-PGM,D-PA;GI-DAE;RHLA-RHLB,L,0,0.091402008633273316,NONE_SCALE_ONLY,18
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,L_lit,0,0.35994772773511163,NONE_SCALE_ONLY,18
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,D,0,0.4828567831495999,NONE_SCALE_ONLY,18
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,C,0,0.037215858672653458,NONE_SCALE_ONLY,18
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,F1,0,0.25035423234453413,NONE_SCALE_ONLY,18
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,F4,0,0.42187837455504307,NONE_SCALE_ONLY,18
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,F5,0,0.055306519702416131,NONE_SCALE_ONLY,18
RHLA-RHLB,RHLA-RHLB,D-PA;GI-DAE;GP-PGM,L,0,0.099757844732807258,NONE_SCALE_ONLY,18
