model,system,pair_N,pair_accuracy,rho,tau,Top1,Top2,regret,mean_pair_margin,validation
M0_GLOBAL_PSCI_PAIRWISE,D-PA,6,0.6666666666666666,0.39999999999999997,0.3333333333333334,False,False,1.0,0.4053270007246568,strict_leave_one_system_out
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,6,0.5,0.19999999999999998,0.0,True,False,0.0,0.5232902799735145,strict_leave_one_system_out
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,6,0.6666666666666666,0.39999999999999997,0.3333333333333334,False,False,1.0,0.2268369071743647,strict_leave_one_system_out
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,6,1.0,1.0,1.0,True,True,0.0,0.8582117977250846,strict_leave_one_system_out
M1_LITERATURE_PRIOR,D-PA,6,0.16666666666666666,-0.7999999999999999,-0.6666666666666669,False,False,3.0,0.3695218259654842,strict_leave_one_system_out
M1_LITERATURE_PRIOR,GI-DAE,6,0.3333333333333333,-0.39999999999999997,-0.3333333333333334,False,False,3.0,0.3695218259654842,strict_leave_one_system_out
M1_LITERATURE_PRIOR,GP-PGM,6,0.3333333333333333,-0.39999999999999997,-0.3333333333333334,False,False,3.0,0.3695218259654842,strict_leave_one_system_out
M1_LITERATURE_PRIOR,RHLA-RHLB,6,0.16666666666666666,-0.7999999999999999,-0.6666666666666669,False,False,3.0,0.3695218259654842,strict_leave_one_system_out
M2_PRIOR_PLUS_PSCI,D-PA,6,1.0,1.0,1.0,True,True,0.0,0.4355170329444176,strict_leave_one_system_out
M2_PRIOR_PLUS_PSCI,GI-DAE,6,0.5,0.19999999999999998,0.0,True,False,0.0,0.3181300565264087,strict_leave_one_system_out
M2_PRIOR_PLUS_PSCI,GP-PGM,6,0.6666666666666666,0.39999999999999997,0.3333333333333334,False,False,1.0,0.9002421347892892,strict_leave_one_system_out
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,6,1.0,1.0,1.0,True,True,0.0,0.7788158632636115,strict_leave_one_system_out
M3_RANK2_SENSITIVITY,D-PA,6,0.6666666666666666,0.6000000000000001,0.3333333333333334,False,True,1.0,0.8600374531440463,strict_leave_one_system_out
M3_RANK2_SENSITIVITY,GI-DAE,6,0.6666666666666666,0.39999999999999997,0.3333333333333334,False,False,2.0,0.8733741220396546,strict_leave_one_system_out
M3_RANK2_SENSITIVITY,GP-PGM,6,0.6666666666666666,0.39999999999999997,0.3333333333333334,False,False,1.0,0.8859653727682352,strict_leave_one_system_out
M3_RANK2_SENSITIVITY,RHLA-RHLB,6,0.6666666666666666,0.39999999999999997,0.3333333333333334,False,False,2.0,0.6738344367664811,strict_leave_one_system_out
M3_RANKREG_SENSITIVITY,D-PA,6,0.5,0.0,0.0,False,False,1.0,0.8322798772649701,strict_leave_one_system_out
M3_RANKREG_SENSITIVITY,GI-DAE,6,0.3333333333333333,-0.39999999999999997,-0.3333333333333334,False,False,3.0,0.74216113525135,strict_leave_one_system_out
M3_RANKREG_SENSITIVITY,GP-PGM,6,0.6666666666666666,0.39999999999999997,0.3333333333333334,False,False,1.0,0.928343856645883,strict_leave_one_system_out
M3_RANKREG_SENSITIVITY,RHLA-RHLB,6,0.3333333333333333,-0.6000000000000001,-0.3333333333333334,False,False,2.0,0.994972451111246,strict_leave_one_system_out
M3_SYSTEM_CONDITIONED_PSCI,D-PA,6,0.6666666666666666,0.6000000000000001,0.3333333333333334,False,True,1.0,0.9095639685670868,strict_leave_one_system_out
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,6,0.3333333333333333,-0.39999999999999997,-0.3333333333333334,False,False,3.0,0.47228006593670974,strict_leave_one_system_out
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,6,0.6666666666666666,0.39999999999999997,0.3333333333333334,False,False,1.0,0.9112578096614761,strict_leave_one_system_out
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,6,0.3333333333333333,-0.6000000000000001,-0.3333333333333334,False,False,2.0,0.9489542454002889,strict_leave_one_system_out
