model,system,construct,predicted_win_probability,predicted_rank,observed_rank,observed_rank_score
M0_GLOBAL_PSCI_PAIRWISE,D-PA,DPA_T03,0.6964895461188322,1,2,3.0
M0_GLOBAL_PSCI_PAIRWISE,D-PA,DPA_T02,0.5743568293980816,2,3,2.0
M0_GLOBAL_PSCI_PAIRWISE,D-PA,DPA_T01,0.5547223394102471,3,1,4.0
M0_GLOBAL_PSCI_PAIRWISE,D-PA,DPA_T04,0.17443128507283903,4,4,1.0
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,GIDAE_T03,0.7478884514863829,1,1,4.0
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,GIDAE_T04,0.6853699800041541,2,4,1.0
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,GIDAE_T02,0.3948757896751219,3,3,2.0
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,GIDAE_T01,0.17186577883434115,4,2,3.0
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GPTRC_T01,0.6705696251602821,1,2,3.0
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GPTRC_T02,0.4956317673514182,2,3,2.0
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GPTRC_T03,0.44735227831820956,3,1,4.0
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,GPTRC_T04,0.3864463291700903,4,4,1.0
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLARHLB_T02,0.8916740415331295,1,1,4.0
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLARHLB_T01,0.75993444980123,2,2,3.0
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLARHLB_T03,0.3241923155085485,3,3,2.0
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,RHLARHLB_T04,0.024199193157091996,4,4,1.0
M1_LITERATURE_PRIOR,D-PA,DPA_T04,0.713649318324863,1,4,1.0
M1_LITERATURE_PRIOR,D-PA,DPA_T03,0.5837480499108446,2,2,3.0
M1_LITERATURE_PRIOR,D-PA,DPA_T02,0.41625195008915544,3,3,2.0
M1_LITERATURE_PRIOR,D-PA,DPA_T01,0.28635068167513694,4,1,4.0
M1_LITERATURE_PRIOR,GI-DAE,GIDAE_T04,0.713649318324863,1,4,1.0
M1_LITERATURE_PRIOR,GI-DAE,GIDAE_T03,0.5837480499108446,2,1,4.0
M1_LITERATURE_PRIOR,GI-DAE,GIDAE_T02,0.41625195008915544,3,3,2.0
M1_LITERATURE_PRIOR,GI-DAE,GIDAE_T01,0.28635068167513694,4,2,3.0
M1_LITERATURE_PRIOR,GP-PGM,GPTRC_T04,0.713649318324863,1,4,1.0
M1_LITERATURE_PRIOR,GP-PGM,GPTRC_T03,0.5837480499108446,2,1,4.0
M1_LITERATURE_PRIOR,GP-PGM,GPTRC_T02,0.41625195008915544,3,3,2.0
M1_LITERATURE_PRIOR,GP-PGM,GPTRC_T01,0.28635068167513694,4,2,3.0
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLARHLB_T04,0.713649318324863,1,4,1.0
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLARHLB_T03,0.5837480499108446,2,3,2.0
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLARHLB_T02,0.41625195008915544,3,1,4.0
M1_LITERATURE_PRIOR,RHLA-RHLB,RHLARHLB_T01,0.28635068167513694,4,2,3.0
M2_PRIOR_PLUS_PSCI,D-PA,DPA_T01,0.6876742416892107,1,1,4.0
M2_PRIOR_PLUS_PSCI,D-PA,DPA_T03,0.6010605352485463,2,2,3.0
M2_PRIOR_PLUS_PSCI,D-PA,DPA_T02,0.5889839703859362,3,3,2.0
M2_PRIOR_PLUS_PSCI,D-PA,DPA_T04,0.12228125267630689,4,4,1.0
M2_PRIOR_PLUS_PSCI,GI-DAE,GIDAE_T03,0.6899847292302255,1,1,4.0
M2_PRIOR_PLUS_PSCI,GI-DAE,GIDAE_T04,0.5686972510620036,2,4,1.0
M2_PRIOR_PLUS_PSCI,GI-DAE,GIDAE_T02,0.4199769688702666,3,3,2.0
M2_PRIOR_PLUS_PSCI,GI-DAE,GIDAE_T01,0.32134105083750425,4,2,3.0
M2_PRIOR_PLUS_PSCI,GP-PGM,GPTRC_T01,0.9656542491589105,1,2,3.0
M2_PRIOR_PLUS_PSCI,GP-PGM,GPTRC_T02,0.6364648148396762,2,3,2.0
M2_PRIOR_PLUS_PSCI,GP-PGM,GPTRC_T03,0.38907841600844056,3,1,4.0
M2_PRIOR_PLUS_PSCI,GP-PGM,GPTRC_T04,0.008802519992972694,4,4,1.0
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLARHLB_T02,0.820253405877744,1,1,4.0
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLARHLB_T01,0.8182402682782822,2,2,3.0
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLARHLB_T03,0.3318487783841763,3,3,2.0
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,RHLARHLB_T04,0.0296575474597975,4,4,1.0
M3_SYSTEM_CONDITIONED_PSCI,D-PA,DPA_T03,0.9792975606525882,1,2,3.0
M3_SYSTEM_CONDITIONED_PSCI,D-PA,DPA_T01,0.6291644373071734,2,1,4.0
M3_SYSTEM_CONDITIONED_PSCI,D-PA,DPA_T04,0.37350972740654637,3,4,1.0
M3_SYSTEM_CONDITIONED_PSCI,D-PA,DPA_T02,0.018028274633691988,4,3,2.0
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GIDAE_T04,0.7127167430639029,1,4,1.0
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GIDAE_T01,0.6927839069028532,2,2,3.0
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GIDAE_T03,0.3968749205914064,3,1,4.0
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,GIDAE_T02,0.19762442944183758,4,3,2.0
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GPTRC_T01,0.9886831251708782,1,2,3.0
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GPTRC_T02,0.5983766334190221,2,3,2.0
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GPTRC_T03,0.41233028289901097,3,1,4.0
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,GPTRC_T04,0.000609958511088656,4,4,1.0
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,RHLARHLB_T03,0.9725834792703155,1,3,2.0
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,RHLARHLB_T04,0.6939942014223819,2,4,1.0
