fold,pair_id,construct_i,construct_j,literature_prior_logit,probability_i_gt_j,eligible_literature_pair_N
D-PA,DPA_PAIR_01,DPA_T01,DPA_T02,-0.4396964001174073,0.39181331340533504,377
D-PA,DPA_PAIR_02,DPA_T01,DPA_T03,-0.9810200221248018,0.27268943586609873,377
D-PA,DPA_PAIR_03,DPA_T01,DPA_T04,-1.420716422242209,0.19454929575397722,377
D-PA,DPA_PAIR_04,DPA_T02,DPA_T03,-0.5413236220073945,0.36787972780670253,377
D-PA,DPA_PAIR_05,DPA_T02,DPA_T04,-0.9810200221248018,0.27268943586609873,377
D-PA,DPA_PAIR_06,DPA_T03,DPA_T04,-0.4396964001174073,0.39181331340533504,377
GI-DAE,GIDAE_PAIR_01,GIDAE_T01,GIDAE_T02,-0.4396964001174073,0.39181331340533504,377
GI-DAE,GIDAE_PAIR_02,GIDAE_T01,GIDAE_T03,-0.9810200221248018,0.27268943586609873,377
GI-DAE,GIDAE_PAIR_03,GIDAE_T01,GIDAE_T04,-1.420716422242209,0.19454929575397722,377
GI-DAE,GIDAE_PAIR_04,GIDAE_T02,GIDAE_T03,-0.5413236220073945,0.36787972780670253,377
GI-DAE,GIDAE_PAIR_05,GIDAE_T02,GIDAE_T04,-0.9810200221248018,0.27268943586609873,377
GI-DAE,GIDAE_PAIR_06,GIDAE_T03,GIDAE_T04,-0.4396964001174073,0.39181331340533504,377
GP-PGM,GPPGM_PAIR_01,GPTRC_T01,GPTRC_T02,-0.4396964001174073,0.39181331340533504,377
GP-PGM,GPPGM_PAIR_02,GPTRC_T01,GPTRC_T03,-0.9810200221248018,0.27268943586609873,377
GP-PGM,GPPGM_PAIR_03,GPTRC_T01,GPTRC_T04,-1.420716422242209,0.19454929575397722,377
GP-PGM,GPPGM_PAIR_04,GPTRC_T02,GPTRC_T03,-0.5413236220073945,0.36787972780670253,377
GP-PGM,GPPGM_PAIR_05,GPTRC_T02,GPTRC_T04,-0.9810200221248018,0.27268943586609873,377
GP-PGM,GPPGM_PAIR_06,GPTRC_T03,GPTRC_T04,-0.4396964001174073,0.39181331340533504,377
RHLA-RHLB,RHLARHLB_PAIR_01,RHLARHLB_T01,RHLARHLB_T02,-0.4396964001174073,0.39181331340533504,377
RHLA-RHLB,RHLARHLB_PAIR_02,RHLARHLB_T01,RHLARHLB_T03,-0.9810200221248018,0.27268943586609873,377
RHLA-RHLB,RHLARHLB_PAIR_03,RHLARHLB_T01,RHLARHLB_T04,-1.420716422242209,0.19454929575397722,377
RHLA-RHLB,RHLARHLB_PAIR_04,RHLARHLB_T02,RHLARHLB_T03,-0.5413236220073945,0.36787972780670253,377
RHLA-RHLB,RHLARHLB_PAIR_05,RHLARHLB_T02,RHLARHLB_T04,-0.9810200221248018,0.27268943586609873,377
RHLA-RHLB,RHLARHLB_PAIR_06,RHLARHLB_T03,RHLARHLB_T04,-0.4396964001174073,0.39181331340533504,377
