system,topology_id,construct,primary_window,D,C,A,O,F1,F2,F3,F4,F5,L,Q_context,Q_topology,z_D,z_C,z_F1,z_F4,z_F5,z_L,source_file,source_timeseries,qc
D-PA,DPA_T01,PanB-RIAD / PanC-RIDD,0-75 ns,2.4125353999707055,0.062266508492916116,1.1703871269167776,0.09587217043941411,0.9442986627838882,1.183351589087883,NA,0.9707057256990679,0.903187348151627,0.31743798009387486,SYSTEM_CONTEXT_ONLY,NA,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,repos/truefit/results/PSCI_FINAL/INTERNAL16_PSCI_MASTER_FINAL.csv,results/PSCI_FINAL/timeseries/DPA_T01/PSCI_timeseries_100ps.csv,PASS
D-PA,DPA_T02,PanB-RIDD / PanC-RIAD,0-75 ns,1.8352770205219706,0.10455509603569905,1.1154543709423435,0.0,0.9111036740511319,1.1520209599067908,NA,1.0,0.9397789639876701,0.3646540810173102,SYSTEM_CONTEXT_ONLY,NA,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,repos/truefit/results/PSCI_FINAL/INTERNAL16_PSCI_MASTER_FINAL.csv,results/PSCI_FINAL/timeseries/DPA_T02/PSCI_timeseries_100ps.csv,PASS
D-PA,DPA_T03,RIAD-PanB / RIDD-PanC,0-75 ns,2.7917171074926763,0.035879180480838886,1.1305978767533955,0.5166444740346205,0.8684332729218375,1.2633993972729693,NA,0.8428761651131824,0.9234889412199289,0.3289072387476698,SYSTEM_CONTEXT_ONLY,NA,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,repos/truefit/results/PSCI_FINAL/INTERNAL16_PSCI_MASTER_FINAL.csv,results/PSCI_FINAL/timeseries/DPA_T03/PSCI_timeseries_100ps.csv,PASS
D-PA,DPA_T04,RIDD-PanB / RIAD-PanC,0-75 ns,2.718666990988016,0.03650851648736485,0.9612855078579228,0.9440745672436751,1.5575450136553928,1.2527817273075899,NA,1.0,0.9282637754344274,0.2865868918575233,SYSTEM_CONTEXT_ONLY,NA,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,repos/truefit/results/PSCI_FINAL/INTERNAL16_PSCI_MASTER_FINAL.csv,results/PSCI_FINAL/timeseries/DPA_T04/PSCI_timeseries_100ps.csv,PASS
GI-DAE,GIDAE_T01,GI-RIDD / DAE-RIAD,0-75 ns,2.3923358214740347,0.03150292919679095,NA,NA,0.7793138067918776,NA,NA,0.5552596537949401,0.858045030203185,0.24771059668508652,SYSTEM_CONTEXT_ONLY,NA,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,repos/truefit/results/PSCI_FINAL/INTERNAL16_PSCI_MASTER_FINAL.csv,results/PSCI_FINAL/timeseries/GIDAE_T01/PSCI_timeseries_100ps.csv,PASS
GI-DAE,GIDAE_T02,RIDD-GI / RIAD-DAE,0-75 ns,1.7913312586551267,0.08562508473821438,NA,NA,0.9028894767292943,NA,NA,0.0,0.900681816134814,0.3849712428067909,SYSTEM_CONTEXT_ONLY,NA,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,repos/truefit/results/PSCI_FINAL/INTERNAL16_PSCI_MASTER_FINAL.csv,results/PSCI_FINAL/timeseries/GIDAE_T02/PSCI_timeseries_100ps.csv,PASS
GI-DAE,GIDAE_T03,GI-RIAD / DAE-RIDD,0-75 ns,2.3610933659960054,0.04123914892356857,NA,NA,0.8584086065946739,NA,NA,0.0,0.8397645300257808,0.4883460206664448,SYSTEM_CONTEXT_ONLY,NA,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,repos/truefit/results/PSCI_FINAL/INTERNAL16_PSCI_MASTER_FINAL.csv,results/PSCI_FINAL/timeseries/GIDAE_T03/PSCI_timeseries_100ps.csv,PASS
GI-DAE,GIDAE_T04,RIAD-GI / RIDD-DAE,0-75 ns,2.666897219002663,0.005011136093960852,NA,NA,1.0896256683544607,NA,NA,0.21837549933422104,0.7522360215741292,0.325305684723036,SYSTEM_CONTEXT_ONLY,NA,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,repos/truefit/results/PSCI_FINAL/INTERNAL16_PSCI_MASTER_FINAL.csv,results/PSCI_FINAL/timeseries/GIDAE_T04/PSCI_timeseries_100ps.csv,PASS
GP-PGM,GPTRC_T01,GP-RIAD / TRC-RIDD,0-75 ns,2.0300191702237016,0.03714854380729693,1.6937546989336885,0.0,0.7462083505961384,1.8555078777709721,NA,0.0,0.8681083051921556,0.4440163603761652,SYSTEM_CONTEXT_ONLY,NA,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,repos/truefit/results/PSCI_FINAL/INTERNAL16_PSCI_MASTER_FINAL.csv,results/PSCI_FINAL/timeseries/GPTRC_T01/PSCI_timeseries_100ps.csv,PASS
GP-PGM,GPTRC_T02,GP-RIDD / TRC-RIAD,0-75 ns,1.7978570001278293,0.018155816544252995,NA,0.0,0.7805332371010653,1.8654140773968044,NA,0.0,0.913108586873151,0.29941335543541947,SYSTEM_CONTEXT_ONLY,NA,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,NOT_PRESENT_IN_FROZEN_FINAL_FILE,repos/truefit/results/PSCI_FINAL/INTERNAL16_PSCI_MASTER_FINAL.csv,results/PSCI_FINAL/timeseries/GPTRC_T02/PSCI_timeseries_100ps.csv,PASS
