model,system,pair_N,pair_accuracy,rho,tau,Top1,true_best_in_predicted_top2,Top2_exact_set
M0_GLOBAL_PSCI_PAIRWISE,D-PA,6,0.6666666666666666,0.39999999999999997,0.3333333333333334,False,False,False
M0_GLOBAL_PSCI_PAIRWISE,GI-DAE,6,0.5,0.19999999999999998,0.0,True,True,False
M0_GLOBAL_PSCI_PAIRWISE,GP-PGM,6,0.6666666666666666,0.39999999999999997,0.3333333333333334,False,False,False
M0_GLOBAL_PSCI_PAIRWISE,RHLA-RHLB,6,1.0,1.0,1.0,True,True,True
M1_LITERATURE_PRIOR,D-PA,6,0.16666666666666666,-0.7999999999999999,-0.6666666666666669,False,False,False
M1_LITERATURE_PRIOR,GI-DAE,6,0.3333333333333333,-0.39999999999999997,-0.3333333333333334,False,True,False
M1_LITERATURE_PRIOR,GP-PGM,6,0.3333333333333333,-0.39999999999999997,-0.3333333333333334,False,True,False
M1_LITERATURE_PRIOR,RHLA-RHLB,6,0.16666666666666666,-0.7999999999999999,-0.6666666666666669,False,False,False
M2_PRIOR_PLUS_PSCI,D-PA,6,1.0,1.0,1.0,True,True,True
M2_PRIOR_PLUS_PSCI,GI-DAE,6,0.5,0.19999999999999998,0.0,True,True,False
M2_PRIOR_PLUS_PSCI,GP-PGM,6,0.6666666666666666,0.39999999999999997,0.3333333333333334,False,False,False
M2_PRIOR_PLUS_PSCI,RHLA-RHLB,6,1.0,1.0,1.0,True,True,True
M3_SYSTEM_CONDITIONED_PSCI,D-PA,6,0.6666666666666666,0.6000000000000001,0.3333333333333334,False,True,True
M3_SYSTEM_CONDITIONED_PSCI,GI-DAE,6,0.3333333333333333,-0.39999999999999997,-0.3333333333333334,False,False,False
M3_SYSTEM_CONDITIONED_PSCI,GP-PGM,6,0.6666666666666666,0.39999999999999997,0.3333333333333334,False,False,False
M3_SYSTEM_CONDITIONED_PSCI,RHLA-RHLB,6,0.3333333333333333,-0.6000000000000001,-0.3333333333333334,False,False,False
