release_artifact,source_repo,source_path,frozen_commit,source_sha256,transformation
05_data/internal16/INTERNAL16_PSCI_FINAL_VALUES.csv,truefit,results/PSCI_FINAL/INTERNAL16_PSCI_MASTER_FINAL.csv,c3fb6030860fa7d19bc0bb3782aa371487f24a93,49acef8887a5b05b22d000154b968a4f817503b0cddfb43e10d26efe19a1688d,columns copied and provenance paths converted to logical relative labels
05_data/internal16/PSCI_EXACT_FEATURE_DICTIONARY.csv,truefit+historical_md,reports/PSCI_*_FEATURE_SPEC_FINAL.md; scripts/psci_internal16_reanalysis.py; scripts/spatial/run_phase3b_spatial.py,c3fb6030860fa7d19bc0bb3782aa371487f24a93+6fef6ba77965e504837e39cf2f5ef0205d86f567,see exact_source_file column,formula audit extract with logical relative source labels
05_data/literature_prior/construct_architecture_91.csv,literature_v3,data/literature_v3/construct_registry_v3_2_final.csv,0e818da437056b0488a4033eac696beb91ada0ea,2cbdf597f31fe13ed58159c16bbef005e9bb542942d5af23d8466028ab967e6f,verbatim copy
05_data/literature_prior/phenotype_records_102.csv,literature_v3,data/literature_v3/phenotype_registry_raw_v3_2_final.csv,0e818da437056b0488a4033eac696beb91ada0ea,c1d5517ee87ab634e2925ae3b394fc95b0781ea31f2481181cd3c06e0231e49d,verbatim copy
05_data/literature_prior/validated_pairs_381.csv,literature_v3,data/literature_v3/pairwise_labels_v3_2_final.csv,0e818da437056b0488a4033eac696beb91ada0ea,7bde24a9b31202ef15fd3805601d2fc64733ce86b6b7ddf629b03e7e9ad078fe,verbatim copy
03_code/common/model.py,pairwise_v2,scripts/pairwise_v2/model.py,b895eb013f87f87da3f1e9a3e175bca77f2b30dd,64af3c54da6a91d610254da70e0ff1513cbf522ba16be8414d0d1bd40cbb7ed3,verbatim frozen model implementation
03_code/psci/frozen_source/psci_internal16_reanalysis.py,truefit,scripts/psci_internal16_reanalysis.py,c3fb6030860fa7d19bc0bb3782aa371487f24a93,c81d5ad418fcf0917160c4c70f8b8d4fdf2ccc9dfea115a4d7732380c85369bc,machine-specific SOURCE and GMX constants replaced by environment-variable defaults only
03_code/psci/frozen_source/run_phase3b_spatial.py,historical_md,scripts/spatial/run_phase3b_spatial.py,6fef6ba77965e504837e39cf2f5ef0205d86f567,7706d0a928843f333abc6fcb46ad793b9171ad79101cf181c2bd7f789641e5d5,machine-specific GMX constant replaced by environment-variable default only
03_code/psci/frozen_source/analyze_spatial_metrics.py,historical_md,scripts/spatial/analyze_spatial_metrics.py,6fef6ba77965e504837e39cf2f5ef0205d86f567,ab2d1c128f8072a1af17d47164a3d0c330ce1149d8caa24da4ce376822215b8f,verbatim frozen implementation
05_data/model/pairrank_24pair_predictions.csv,pairwise_v2,results/SYSTEM_CONDITIONED_PSCI_PAIRWISE_V2/PAIRWISE_PROBABILITIES.csv,b895eb013f87f87da3f1e9a3e175bca77f2b30dd,91055c0c5eec1bba928f270c16ca75c82aa53bd43bf3e31a51ffc379fda5192d,24-pair manuscript projection
05_data/figures/Fig1_topology_atlas.csv through Fig6_design_workflow.csv,pairwise_v2,results/NC_MANUSCRIPT_FINAL_BUNDLE_20260811/16_FIGURE_SOURCE_DATA/,b9ad43dfd7930824ecd0e2d452804d41e3bc4b23,recorded in MANIFEST.sha256,verbatim manuscript bundle source-data copies
